id,artista,link,titulo,letra
10,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/disk-me.html,Disk Me,Que coragem você temDe me ligar às quatro da manhã pra me falar de amorO que você tomou?Quanta audácia você tem de imaginarQue ouvir sua voz faria eu reconsiderarO que você tomou?Diz que me ama quando bebeMas quando acorda se esquece desse amorQue acabouDiz que não encontra outra igualNossa ligação perdeu o sinalVocê me usou e me deixouDisk meDisk meDisk meConsigo imaginar essa situaçãoA garrafa vazia e o celular na mãoHoje nãoSem perdãoConsigo imaginar essa situaçãoAchando que controla o meu coraçãoHoje nãoSem perdãoDiz que me ama quando bebeMas quando acorda se esquece desse amorQue acabouDiz que não encontra outra igualNossa ligação perdeu o sinalVocê me usou e me deixouDiz que me ama quando bebeMas quando acorda se esquece desse amorQue acabouDiz que não encontra outra igualNossa ligação perdeu o sinalVocê me usou e me deixouDisk meDisk meDisk me
11,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/flash-pose-ft-charli-xcx.html,Flash Pose (Ft. Charli XCX),"Yes, girl!Come on, get with meYou know, I had an outfit like that in high schoolFlash, flash, flashFlash, flash, flash, poseFlash, flash, flashFlash, flash, flash, closeFlash, flash, flashFlash, flash, flash, poseFlash, flash, flashFlash, flash, flash, closeWe can try this outBut you gotta know what I'm aboutAnd if we can work it outYou know my bodyYou know, you know my bodyWe can try this outBut you gotta know what I'm aboutAnd if we can work it outYou know my bodyYou know, you know my bodyYeah come over, come over babyGet in my picture, that's right'Cause I wasn't trying to get a nice picture by myselfGet in my picture, poseGet in my frame, closeYou're so cool, poseYeah, pose, yeah, closeGet in my picture, poseGet in my frame, closeLook all sexy, poseYeah, pose, yeah, closeLook good when I walk in the partyRide pink cars like Malibu BarbieDressed up, nighty night in a VersaceI love Pabllo, Pabllo loves CharliPost up like we own it, yeahBlow right like it's golden, yeahLook good, damn it's so unfair, yeahLook good and we know it, yeahWe can try this out (uh huh, uh huh)But you gotta know what I'm about(oh yeah, yeah, yeah)And if we can work it outYou know my bodyYou know, you know my body (oh)We can try this out (uh huh, uh huh)But you gotta know what I'm about(oh yeah, yeah, yeah)And if we can work it outYou know my bodyYou know, you know my body (oh)Yeah come over, come over babyGet in my picture, that's right'Cause I wasn't trying to get a nice picture by myselfGet in my picture, poseGet in my frame, closeYou're so cool, poseYeah, pose, yeah, closeGet in my picture, poseGet in my frame, closeLook all sexy, poseYeah, pose, yeah, close"
12,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/amarelo.html,AmarElo,"Presentemente eu posso meconsiderar um sujeito de sortePorque apesar de muito moçome sinto são e salvo e forteE tenho comigo pensadoDeus é brasileiro e anda do meu ladoE assim já não posso sofrer no ano passadoTenho sangrado demaistenho chorado pra cachorroAno passado eu morri mas esse ano eu não morroTenho sangrado demaistenho chorado pra cachorroAno passado eu morri mas esse ano eu não morroAno passado eu morri mas esse ano eu não morroAno passado eu morri mas esse ano eu não morroEu sonho mais alto que dronesCombustível do meu tipo? A fomePra arregaçar como um ciclone (entendeu?)Pra que amanhã não seja só um ontemCom um novo nomeO abutre ronda, ansioso pela queda (sem sorte)Findo mágoa, manosou mais que essa merda (bem mais)Corpo, mente, alma, um, tipo AyurvedaEstilo água, eu corro no meio das pedraNa trama, tudo os drama turvoeu sou um dramaturgoConclama a se afastar da lamaenquanto inflama o mundoSem melodrama, busco granaisso é hosana em cursoCapulanas, catanas, buscar nirvana é o recursoÉ um mundo cão pra nóizperder não é opção, certo?De onde o vento faz a curva, brota o papo retoNum deixo quieto, num tem como deixar quietoA meta é deixar sem chãoquem riu de nóiz sem tetoTenho sangrado demaistenho chorado pra cachorroAno passado eu morri mas esse ano eu não morroTenho sangrado demaistenho chorado pra cachorroAno passado eu morri mas esse ano eu não morroAno passado eu morri mas esse ano eu não morroFigurinha premiada, brilho no escurodesde a quebrada avulsoDe gorro, alto do morro e os camarada tudoDe peça no forro e os piores impulsosSó eu e Deus sabe o que é não ter nadaser expulsoPonho linhas no mundomas já quis pôr no pulsoSem o torro, nossa vida nãovale a de um cachorro, tristeHoje cedo não era um hitera um pedido de socorroMano, rancor é igual tumor envenena raizOnde a platéia só deseja ser feliz (ser feliz)Com uma presença aéreaOnde a última tendência édepressão com aparência de fériasVovó diz, Odiar o diabo é mó boidifícil é viver no infernoE vem a tonaQue o mesmo império canalhaque não te leva a sérioInterfere pra te levar a lonaRevideTenho sangrado demaistenho chorado pra cachorroAno passado eu morri mas esse ano eu não morroTenho sangrado demaistenho chorado pra cachorroAno passado eu morri mas esse ano eu não morroAno passado eu morri mas esse ano eu não morroPermita que eu fale, não as minhas cicatrizesElas são coadjuvantes, não, melhor, figurantesque nem devia tá aquiPermita que eu fale, não as minhas cicatrizesTanta dor rouba nossa vozsabe o que resta de nóiz?Alvos passeando por aíPermita que eu fale, não as minhas cicatrizesSe isso é sobre vivênciame resumir a sobrevivênciaÉ roubar o pouco de bom que viviPor fim, permita que eufale, não as minhas cicatrizesAchar que essas mazelas me definemé o pior dos crimesÉ dar o troféu pro nossoalgoz e fazer nóiz sumirTenho sangrado demaistenho chorado pra cachorroAno passado eu morri mas esse ano eu não morroTenho sangrado demaistenho chorado pra cachorroAno passado eu morri mas esse ano eu não morroTenho sangrado demaistenho chorado pra cachorroAno passado eu morri mas esse ano eu não morroTenho sangrado demaistenho chorado pra cachorroAno passado eu morri mas esse ano eu não morroAno passado eu morri mas esse ano eu não morro"
13,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/bandida-part-pocah.html,Bandida (part. POCAH),"Olha quem chegou aquiVeio querendo de novoTava jogando pra tuAgora jogo pro povoFalei pra não me mandarMensagem no celularJá cansei da sua caraChega, sai pra láTá querendo me amarrarTá querendo me prenderEu só quero bagunçarVem que eu tô solteiraTá querendo me amarrarTá querendo me prenderEu só quero bagunçarVem que eu tô solteiraHoje eu tô solteiraHoje eu tô que tôTô na bagaceiraTodo dia é sexta feiraHoje eu tô solteiraHoje eu tô que tôTô na bagaceiraTodo dia é sexta feiraPocah e Pabllo no comando (vem)A mamãe já chega on (vem)Taca taca liberadoEmpinando e tomando de assaltoA neta das bruxas vocês não queimaramHoje fazem magia com a raba pro altoQue mandam no gameQue fazem o que querem eNão abaixam a cabeça pra machoTá querendo me amarrarTá querendo me prenderEu só quero bagunçarVem que eu tô solteiraTá querendo me amarrarTá querendo me prenderEu só quero bagunçarVem que eu tô solteiraHoje eu tô solteiraHoje eu tô que tôTô na bagaceiraTodo dia é sexta feiraHoje eu tô solteiraHoje eu tô que tôTô na bagaceiraTodo dia é sexta feira"
14,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/minaj.html,Minaj,Pegue lá no carro e as malas de ParisNão to nem aí para o que você dizSei que uma foto é o que você querMas por favor não amasse o meu megahairQuando chego no baile boto pra quebrarEu não sou discreta gosto de arrasarGosto de homem que sabe o que querE que na cama me faça mulherOlha aqui menino eu desço devagarO tamanho da minha bunda vai te assustarAntes que eu desista eu vou te dizerQuem manda aqui sou eu e eu vou te enlouquecerVem cá! Aqui! Que agora eu vou te mostrarVem cá! Aqui! Que agora eu vou te mostrarQue não é miragem. É Minaj!Pegue lá no carro as malas de ParisNão to nem aí para o que você dizSei que uma foto é o que você querMas por favor não amasse o meu megahairQuando chego no baile boto pra quebrarEu não sou discreta gosto de arrasarGosto de homem que sabe o que querE que na cama me faça mulherOlha aqui menino eu desço devagarO tamanho da minha bunda vai te assustarAntes que eu desista eu vou te dizerQuem manda aqui sou eu e eu vou te enlouquecerVem cá! Aqui! Que agora eu vou te mostrarVem cá! Aqui! Que agora eu vou te mostrarQue não é miragem. É Minaj!
15,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/zap-zum.html,Zap Zum,Zap zum zum zumNo cometa eu vouNem que seja de caronaPra te dar amorZap zum zum zumNo cometa eu vouVou te achar de todo jeitoSentir teu calorFoi tudo tão de repenteMexeu legal com a minha menteCom teu jeito meigo de me olharVocê sorriu e foi emboraMeu mundo desabou na horaE nem tive tempo de te amarMeu anjoMe diz qual o planeta que você estáMeu anjoEu dou a volta ao mundo pra me entregarZap zum zum zumNo cometa eu vouNem que seja de caronaPra te dar amorZap zum zum zumNo cometa eu vouVou te achar de todo jeitoSentir teu calor
16,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/ultra-som.html,Ultra Som,"Alô, eu sou a PablloQuem é que liga?Oi, prazer, em te conhecerMeu nome é Pabllo não vai esquecerEu nasci para te dar prazerEu sou bem safadinha, pode crerSe você quiser me encontrarÉ só ligar pra gente programarNo ultrassom te espero louca, mas só se for agoraVai que a gente pode relaxarTô no ultrassom e vim pra remexerMexe, remexe com Chupa Pabllo e manda verTô no ultrassom e vim pra remexerA revelação sonora feita pra vocêTô no ultrassom e vim pra remexerMexe, remexe com Chupa Pabllo e manda verTô no ultrassom e vim pra remexerA revelação sonora feita pra vocêCom o Dj Gorkynho, é muita curtiçãoTambém tem o Zebu e o MaffaldãoMeus Djs controlam a festa e a revelação sonoraAí é que a gente pode relaxarTô no ultrassom e vim pra remexerMexe, remexe com Chupa Pabllo e manda verTô no ultrassom e vim pra remexerA revelação sonora feita pra vocêAlô, eu sou a PablloQuem é que liga?"
17,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/bang-bang.html,Bang Bang,"E bang, bang, bang, bang, bangBang, bang, bang, bang, bangRá-tá-táVittar!Eu fui alvejada pelo teu olharTiro certeiro fez me apaixonarMe deixando louca de amor, oh-ohFoi como um disparo no meu coraçãoFoi como bang, bang de paixãoQuando você me cercouTentei me defender, não deuUm beijo me acertouDepois de me renderMe dei, de tão apaixonadaAlvo certo de amor, oh-ohRá-tá-táBang, bangMetralhada de amorPenetrou, acertou o meu coraçãoBang, bangO cupido me acertouDispertou, provocou amor e paixãoE bang, bang, bang, bang, bangBang, bang, bang, bang, bangRá-tá-táE bang, bang, bang, bang, bangBang, bang, bang, bang, bangRá-tá-táTentei me defender, não deuUm beijo me acertouDepois de me renderMe dei, de tão apaixonadaAlvo certo de amor, oh-ohRá-tá-táBang, bangMetralhada de amorPenetrou, acertou o meu coraçãoBang, bangO cupido me acertouDispertou, provocou amor e paixãoE bang, bang, bang, bang, bangBang, bang, bang, bang, bangRá-tá-táE bang, bang, bang, bang, bangBang, bang, bang, bang, bangRá-tá-tá"
18,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/problema-seu.html,Problema Seu,"AmorEu te avisei pra não ficar me esperandoEu não sou santaE a pista tá fervendoPode vir quenteQue o DJ tá me chamandoEu tô pegando quem quiserAmorEu te avisei pra não ficar me esperandoEu não sou santaE a pista tá fervendoPode vir quenteQue o DJ tá me chamandoEu tô pegando quem quiserAmorSe você gosta de mimSe você gosta de mimSe você gosta de mimQuem mandou você se apaixonarProblema seuEngano seuProblema seuEngano seuAmorEu te avisei pra não ficar me esperandoEu não sou santaE a pista tá fervendoPode vir quenteQue o DJ tá me chamandoEu tô pegando quem quiserAmorSe você gosta de mimSe você gosta de mimSe você gosta de mimQuem mandou você se apaixonarProblema seuEngano seuProblema seuEngano seuMeu corpo te enlouqueceuProblema, problema seuMeu corpo te enlouqueceuProblema, problema seuMeu corpo te enlouqueceuProblema, problema seuMeu corpo te enlouqueceuProblema, problema seuSe você gosta de mimSe você gosta de mimSe você gosta de mimQuem mandou você se apaixonarProblema seu"
19,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/a-lua.html,A Lua,"Ninguém vai pegarNinguém vai roubarA lua me deuMe dê-e-euSeu amorMe arrepiei só de te ver na multidãoOlho no olho disparou meu coraçãoLembra de quando a gente era um casal feliz e tal?Fazia planos queria viver a doisNem me importava o que podia vir depoisMas, não aconteceu assimEu já sei, não vai perdoarTantas vezes que eu te fiz chorarMelhor assim, mas não vou negarQue te amo e sempre vou amarPorqueNinguém vai pegarNinguém vai roubarA lua me deuMe dê-e-euSeu amorTe contei, tudo no momento em que eu erreiIsso é que eu não posso apagarNinguém vai pegarNinguém vai roubarA lua me deuMe dê-e-euSeu amorNinguém (ninguém)Ninguém (ninguém)A luaMe deu seu amor"
20,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/number-one-com-rennan-da-penha.html,Number One (Com Rennan da Penha),"Yeah-yeahVittarNão vou deixar, não vou deixar nãoO seu game é bugado, é chato, vai cair de caraTentam me imitar criando outros clonesMas sabe que eu nunca saio do teu foneQuando tu vai se tocarQue não dá pra se livrar?Sei que tudo que ‘cê pensa é meu nomeBaby, Pabllo VittarE ai-ai, ‘cê pede mai-aisEntão me mostra se você consegue ser capazNão perco nada, wow-wowPor um segundo, eu finjo amorMeu som tá pesando na tua cabeçaNão é à toa que eu sou a number oneHmm, me usa quе eu vou te usarSeguе no esquema, só vem me tocarHmm, anda dizendo que é meu fãHmm-hmm, fica comigo até de manhãEu tiro minha blusa, o resto ‘cê tiraMe vira do avesso, de baixo pra cimaHmm, anda dizendo que é meu fãHmm-hmm, fica comigo até de manhãSegue a minha tática (Yeah-yeah)Eu sou tipo máquina (Eu sou)Foi dada a largada‘Cê sabe que eu corro pra você andarQuer ingresso pro meu showQuer saber pra onde eu vouSó falo se você se comportar (Ta-ta-ta)Hey, yo, what about ya?You thinkin' about meI see you from far, ah-ah, ah-ahHey, yo, what about her?You thinkin' about herI see you from far, ah-ah, ah-ahNão perco nada, wow-wowPor um segundo, eu finjo amorMeu som tá pesando na tua cabeçaNão é à toa que eu sou a number oneHmm, me usa que eu vou te usarSegue no esquema, só vem me tocarHmm, anda dizendo que é meu fãHmm-hmm, fica comigo até de manhãLembro quando começouNão tinha nada além de amorMas não vou mais perderPra mim nem pra vocêNumber oneNumber oneAh-ah-ahHmm, anda dizendo que é meu fãHmm-hmm, fica comigo até de manhã"
21,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/ansia.html,Ânsia,"Você jurou pra mim que vai me amarEu não consigo mais te esperarA ânsia foi maior e eu me entreguei a outro alguémPassamos uma noite de amorNossos corpos se envolvendo foi tão bomVocê jurou demais e não me deu amorO homem que eu encontrei me fez felizE me abriu todas as portas do amorMe fez uma mulher realizadaE me tirou todas as dúvidas do amorO homem que eu encontrei me fez felizE me abriu todas as portas do amorMe fez uma mulher realizadaE me tirou todas as dúvidas do amorE me mostrou o prazer do amor, conquistouFoi tão bom amor, oh oh ohE me mostrou o prazer do amor, conquistouFoi tão bom amor, oh oh ohO homem que eu encontrei me fez felizE me abriu todas as portas do amorMe fez uma mulher realizadaE me tirou todas as dúvidas do amorO homem que eu encontrei me fez felizE me abriu todas as portas do amorMe fez uma mulher realizadaE me tirou todas as dúvidas do amorE me mostrou o prazer do amor, conquistouFoi tão bom amor oh oh ohE me mostrou o prazer do amor, conquistouFoi tão bom amor oh oh ohOh Oh Oh Oh"
22,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/trago-seu-amor-de-volta-part-dilsinho.html,Trago Seu Amor de Volta (Part. Dilsinho),"Quando eu sai da sua vidaEu nem pensei em olhar pra trásSabe que eu sou decididaE pra sorrir já chorei demaisMas o destino convidaE a gente não pensa, só vaiAgora eu seiNas estrelas enxergueiE nas cartas confirmeiQue tudo levava a nós doisEu vou deixarOnde o vento me levarSei que eu vou te encontrarSó pra te dizerTrago seu amor de voltaNao quero nada em trocaO que o destino uniu, ninguém vai separarTrago seu amor de voltaNao quero nada em trocaO que o destino uniu, ninguém vai separarTrago seu amor de voltaTrago seu amor de voltaAgora eu seiNas estrelas enxergueiE nas cartas confirmeiQue tudo levava a nós doisEu vou deixarOnde o vento me levarSei que eu vou te encontrarSó pra te dizerTrago seu amor de voltaNao quero nada em trocaO que o destino uniu, ninguém vai separarTrago seu amor de voltaNao quero nada em trocaO que o destino uniu, ninguém vai separarTrago seu amor de voltaTrago seu amor de volta"
